Report area: top=TOP; level=10000; athr=0;
  chiplet_router                                                                                                         :    T=(  34813.87, 100.000%),    C=(  13123.91,  37.697%),    R=(  21689.96,  62.303%),    B=(      0.00,   0.000%),    
  east_inport_u0                                                                                                         :    T=(     52.67,   0.151%),    C=(     52.67,   0.151%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  east_inport_u1                                                                                                         :    T=(     50.43,   0.145%),    C=(     50.43,   0.145%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  east_outport_u0                                                                                                        :    T=(     28.09,   0.081%),    C=(     22.02,   0.063%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  east_outport_u1                                                                                                        :    T=(     27.77,   0.080%),    C=(     22.02,   0.063%),    R=(      5.75,   0.017%),    B=(      0.00,   0.000%),    
  north_inport_u0                                                                                                        :    T=(     54.90,   0.158%),    C=(     54.90,   0.158%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  north_inport_u1                                                                                                        :    T=(     50.43,   0.145%),    C=(     50.43,   0.145%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  north_outport_u0                                                                                                       :    T=(     29.69,   0.085%),    C=(     23.62,   0.068%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  north_outport_u1                                                                                                       :    T=(     30.32,   0.087%),    C=(     24.58,   0.071%),    R=(      5.75,   0.017%),    B=(      0.00,   0.000%),    
  router_0                                                                                                               :    T=(  17072.41,  49.039%),    C=(   6250.57,  17.954%),    R=(  10821.84,  31.085%),    B=(      0.00,   0.000%),    
  router_0/crossbar                                                                                                      :    T=(    526.04,   1.511%),    C=(    526.04,   1.511%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_0/input_block                                                                                                   :    T=(  13852.32,  39.790%),    C=(   3330.53,   9.567%),    R=(  10521.79,  30.223%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_0__input_port                                                                :    T=(   2756.29,   7.917%),    C=(    652.13,   1.873%),    R=(   2104.17,   6.044%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_0__input_port/chiplet_rc_unit                                                :    T=(      7.66,   0.022%),    C=(      7.66,   0.022%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_0__input_port/generate_virtual_channels_0__input_buffer                      :    T=(   1350.22,   3.878%),    C=(    298.13,   0.856%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_0__input_port/generate_virtual_channels_0__input_buffer/circular_buffer      :    T=(   1249.35,   3.589%),    C=(    251.85,   0.723%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_0__input_port/generate_virtual_channels_1__input_buffer                      :    T=(   1349.90,   3.877%),    C=(    297.81,   0.855%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_0__input_port/generate_virtual_channels_1__input_buffer/circular_buffer      :    T=(   1249.99,   3.590%),    C=(    252.49,   0.725%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_1__input_port                                                                :    T=(   2773.21,   7.966%),    C=(    668.72,   1.921%),    R=(   2104.49,   6.045%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_1__input_port/chiplet_rc_unit                                                :    T=(      7.66,   0.022%),    C=(      7.66,   0.022%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_1__input_port/generate_virtual_channels_0__input_buffer                      :    T=(   1358.20,   3.901%),    C=(    305.79,   0.878%),    R=(   1052.40,   3.023%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_1__input_port/generate_virtual_channels_0__input_buffer/circular_buffer      :    T=(   1257.97,   3.613%),    C=(    260.47,   0.748%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_1__input_port/generate_virtual_channels_1__input_buffer                      :    T=(   1357.88,   3.900%),    C=(    305.79,   0.878%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_1__input_port/generate_virtual_channels_1__input_buffer/circular_buffer      :    T=(   1257.65,   3.612%),    C=(    260.15,   0.747%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_2__input_port                                                                :    T=(   2775.12,   7.971%),    C=(    670.64,   1.926%),    R=(   2104.49,   6.045%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_2__input_port/chiplet_rc_unit                                                :    T=(      7.66,   0.022%),    C=(      7.66,   0.022%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_2__input_port/generate_virtual_channels_0__input_buffer                      :    T=(   1358.83,   3.903%),    C=(    306.43,   0.880%),    R=(   1052.40,   3.023%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_2__input_port/generate_virtual_channels_0__input_buffer/circular_buffer      :    T=(   1256.37,   3.609%),    C=(    258.87,   0.744%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
